DATE,MORTGAGE30US
2017-01-02,4.3100000000000000
2017-01-16,4.1600000000000000
2017-01-30,4.1400000000000000
2017-02-13,4.1800000000000000
2017-02-27,4.1550000000000000
2017-03-13,4.1550000000000000
2017-03-27,4.2650000000000000
2017-04-10,4.1200000000000000
2017-04-24,4.0250000000000000
2017-05-08,4.0250000000000000
2017-05-22,4.0350000000000000
2017-06-05,3.9450000000000000
2017-06-19,3.9000000000000000
2017-07-03,3.8900000000000000
2017-07-17,3.9950000000000000
2017-07-31,3.9400000000000000
2017-08-14,3.9150000000000000
2017-08-28,3.8750000000000000
2017-09-11,3.8000000000000000
2017-09-25,3.8050000000000000
2017-10-09,3.8400000000000000
2017-10-23,3.8950000000000000
2017-11-06,3.9400000000000000
2017-11-20,3.9250000000000000
2017-12-04,3.9100000000000000
2017-12-18,3.9350000000000000
2018-01-01,3.9650000000000000
2018-01-15,3.9700000000000000
2018-01-29,4.0950000000000000
2018-02-12,4.2700000000000000
2018-02-26,4.3900000000000000
2018-03-12,4.4450000000000000
2018-03-26,4.4450000000000000
2018-04-09,4.4200000000000000
2018-04-23,4.4450000000000000
2018-05-07,4.5650000000000000
2018-05-21,4.5800000000000000
2018-06-04,4.6100000000000000
2018-06-18,4.5800000000000000
2018-07-02,4.5600000000000000
2018-07-16,4.5250000000000000
2018-07-30,4.5300000000000000
2018-08-13,4.5950000000000000
2018-08-27,4.5200000000000000
2018-09-10,4.5300000000000000
2018-09-24,4.6250000000000000
2018-10-08,4.7150000000000000
2018-10-22,4.8750000000000000
2018-11-05,4.8450000000000000
2018-11-19,4.9400000000000000
2018-12-03,4.8100000000000000
2018-12-17,4.6900000000000000
2018-12-31,4.5850000000000000
2019-01-14,4.4800000000000000
2019-01-28,4.4500000000000000
2019-02-11,4.4350000000000000
2019-02-25,4.3600000000000000
2019-03-11,4.3800000000000000
2019-03-25,4.2950000000000000
2019-04-08,4.0700000000000000
2019-04-22,4.1450000000000000
2019-05-06,4.1700000000000000
2019-05-20,4.0850000000000000
2019-06-03,4.0250000000000000
2019-06-17,3.8200000000000000
2019-07-01,3.7850000000000000
2019-07-15,3.7500000000000000
2019-07-29,3.7800000000000000
2019-08-12,3.6750000000000000
2019-08-26,3.5750000000000000
2019-09-09,3.5350000000000000
2019-09-23,3.6450000000000000
2019-10-07,3.6450000000000000
2019-10-21,3.6300000000000000
2019-11-04,3.7650000000000000
2019-11-18,3.7200000000000000
2019-12-02,3.6700000000000000
2019-12-16,3.7050000000000000
2019-12-30,3.7350000000000000
2020-01-13,3.6800000000000000
2020-01-27,3.6250000000000000
2020-02-10,3.4800000000000000
2020-02-24,3.4800000000000000
2020-03-09,3.3700000000000000
2020-03-23,3.5050000000000000
2020-04-06,3.4150000000000000
2020-04-20,3.3200000000000000
2020-05-04,3.2800000000000000
2020-05-18,3.2700000000000000
2020-06-01,3.1950000000000000
2020-06-15,3.1950000000000000
2020-06-29,3.1300000000000000
2020-07-13,3.0500000000000000
2020-07-27,2.9950000000000000
2020-08-10,2.9350000000000000
2020-08-24,2.9750000000000000
2020-09-07,2.9200000000000000
2020-09-21,2.8650000000000000
2020-10-05,2.8900000000000000
2020-10-19,2.8400000000000000
2020-11-02,2.8050000000000000
2020-11-16,2.8100000000000000
2020-11-30,2.7200000000000000
2020-12-14,2.7100000000000000
2020-12-28,2.6650000000000000
2021-01-11,2.6600000000000000
2021-01-25,2.7800000000000000
2021-02-08,2.7300000000000000
2021-02-22,2.7700000000000000
2021-03-08,2.9950000000000000
2021-03-22,3.0700000000000000
2021-04-05,3.1750000000000000
2021-04-19,3.0850000000000000
2021-05-03,2.9750000000000000
2021-05-17,2.9500000000000000
2021-05-31,2.9750000000000000
2021-06-14,2.9750000000000000
2021-06-28,2.9750000000000000
2021-07-12,2.9400000000000000
2021-07-26,2.8300000000000000
2021-08-09,2.7850000000000000
2021-08-23,2.8650000000000000
2021-09-06,2.8700000000000000
2021-09-20,2.8700000000000000
2021-10-04,2.9450000000000000
2021-10-18,3.0200000000000000
2021-11-01,3.1150000000000000
2021-11-15,3.0350000000000000
2021-11-29,3.1000000000000000
2021-12-13,3.1050000000000000
2021-12-27,3.0850000000000000
2022-01-10,3.1650000000000000
2022-01-24,3.5050000000000000
2022-02-07,3.5500000000000000
2022-02-21,3.8050000000000000
2022-03-07,3.8250000000000000
2022-03-21,4.0050000000000000
2022-04-04,4.5450000000000000
2022-04-18,4.8600000000000000
2022-05-02,5.1050000000000000
2022-05-16,5.2850000000000000
2022-05-30,5.1750000000000000
2022-06-13,5.1600000000000000
2022-06-27,5.7950000000000000
2022-07-11,5.5000000000000000
2022-07-25,5.5250000000000000
2022-08-08,5.1450000000000000
2022-08-22,5.1750000000000000
2022-09-05,5.6050000000000000
2022-09-19,5.9550000000000000
2022-10-03,6.4950000000000000
2022-10-17,6.7900000000000000
2022-10-31,7.0100000000000000
2022-11-14,7.0150000000000000
2022-11-28,6.5950000000000000
2022-12-12,6.4100000000000000
2022-12-26,6.2900000000000000
2023-01-09,6.4500000000000000
2023-01-23,6.2400000000000000
2023-02-06,6.1100000000000000
2023-02-20,6.2200000000000000
2023-03-06,6.5750000000000000
2023-03-20,6.6650000000000000
2023-04-03,6.3700000000000000
2023-04-17,6.2750000000000000
2023-05-01,6.4100000000000000
2023-05-15,6.3700000000000000
2023-05-29,6.4800000000000000
2023-06-12,6.7500000000000000
2023-06-26,6.6800000000000000
2023-07-10,6.7600000000000000
2023-07-24,6.8700000000000000
2023-08-07,6.8550000000000000
2023-08-21,7.0250000000000000
